STAR SSPOC MASK RA DEC SFFI TEFF f_TEFF NABUN f_NABUN MASS f_MASS LOGL f_LOGL VMIC f_VMIC LOGG f_LOGG DIST f_DIST TIC f_TIC W1mag W2mag W3mag W4mag e_W1mag e_W2mag e_W3mag e_W4mag Bmag/APASS Vmag/APASS e_Bmag/APASS e_Vmag/APASS gpmag e_gpmag rpmag e_rpmag ipmag e_ipmag B1 B2 A C D E e_B1 e_B2 e_A e_C e_D e_E Vmag/Merm91 B-V U-B e_Vmag/Merm91 e_B-V e_U-B Bmag/Merm91 e_Bmag/Merm91 Umag e_Umag S09 S18 e_S09 e_S18 BPmag Gmag RPmag e_BPmag e_Gmag e_RPmag Fnu_12 e_Fnu_12 Fnu_25 e_Fnu_25 Fnu_60 e_Fnu_60 Fnu_100 e_Fnu_100 Bmag/NOMAD05 Vmag/NOMAD05 Rmag Jmag Hmag Kmag e_Jmag e_Hmag e_Kmag
HD103779 "" 0.15 179.23979166666666 -63.24908888888889 10;11;37;38 25000.0 2 8.07 2 25.0 2 "" "" 12.0 2 3.0 2 2233.15147435994 -1 306562451 -1 7.113 7.21 7.273 7.85 0.045 0.02 0.022 0.155 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 7.214 -0.003 -0.853 0.015 0.016 0.017 7.211 0.021931712199461308 6.3580000000000005 0.027748873851023214 0.08374 "" 0.00466 "" 7.147762 7.167922 7.13264 0.003066 0.002805 0.004514 "" "" "" "" "" "" "" "" 7.187 7.217 7.24 7.134 7.195 7.199 0.024 0.034 0.021
HD105071 64;65 0.1 181.47341666666665 -65.546875 11;37;38 12200.0 2 7.97 2 20.0 2 "" "" 20.0 2 1.85 2 2276.33628518846 -1 379870355 -1 5.49 5.326 5.478 5.337 0.139 0.045 0.015 0.031 "" "" "" "" "" "" "" "" "" "" -19.38 -10.46 0.3728 -0.9515 -0.7505 -2.205 "" "" 5.2 "" "" "" 6.316 0.2 -0.436 0.024 0.01 0.034 6.516 0.026000000000000002 6.08 0.0428018691180654 0.3683 "" 0.0109 "" 6.331203 6.225141 5.983567 0.00433 0.002938 0.005198 "" "" "" "" "" "" "" "" 6.438 6.307 6.23 5.694 5.67 5.569 0.019 0.026 0.023
HD106343 37;38;64;65 0.15 183.57054166666663 -64.40851944444445 11 20100.0 2 8.2 2 30.0 2 "" "" 17.0 2 2.5 2 3100.78357665113 -1 382515892 -1 5.792 5.662 5.68 5.346 0.11 0.039 0.015 0.03 "" "" "" "" "" "" "" "" "" "" -13.68 -7.385 0.3249 -0.6943 -0.5385 -1.557 "" "" 4.9 "" "" "" 6.219 0.11 -0.772 0.016 0.014 0.037 6.329000000000001 0.0212602916254693 5.557 0.042673176586703734 0.3511 "" 0.0122 "" 6.222879 6.176349 6.027168 0.004252 0.002962 0.005198 "" "" "" "" "" "" "" "" 6.295 6.236 6.21 5.937 5.923 5.852 0.018 0.024 0.016
HD108002 "" 0.15 186.23316666666665 -65.21101388888889 11;37;38 20200.0 2 8.19 2 25.0 2 "" "" 16.0 2 2.6 2 2573.37181636818 -1 450383399 -1 6.453 6.432 6.394 6.184 0.041 0.019 0.015 0.043 "" "" "" "" "" "" "" "" "" "" -12.55 -6.775 0.1844 -0.589 1.132 -1.284 "" "" 5.7 "" 36.0 "" 6.927 0.114 -0.734 0.017 0.01 0.03 7.0409999999999995 0.01972308292331602 6.3069999999999995 0.035902646142032486 0.1571 "" 0.0051 "" 6.919154 6.869151 6.710253 0.003619 0.002858 0.004637 "" "" "" "" "" "" "" "" 7.011 6.956 6.93 6.628 6.593 6.545 0.026 0.036 0.02
HD109867 38;64;65 0.1 189.71816666666663 -67.19305 11 22300.0 2 8.32 2 23.0 2 "" "" 14.0 2 2.75 2 2498.56224504823 -1 327774344 -1 6.006 5.93 5.907 5.649 0.075 0.025 0.015 0.033 "" "" "" "" "" "" "" "" "" "" -15.33 -8.278 0.2442 -0.5844 -0.4858 -1.808 "" "" 5.4 "" "" "" 6.253 0.051 -0.843 0.016 0.008 0.015 6.304 0.017888543819998316 5.461 0.023345235059857503 0.2389 "" 0.0111 "" 6.222566 6.20869 6.121813 0.003835 0.002887 0.006039 "" "" "" "" "" "" "" "" 6.267 6.263 6.26 6.102 6.094 6.054 0.024 0.044 0.017
HD111558 "" 0.1 192.7998333333333 -69.64520833333334 11;12;38;64 12100.0 2 8.08 2 17.0 2 "" "" 20.0 2 2.0 2 4612.15181680201 -1 333977706 -1 6.649 6.602 6.557 6.397 0.076 0.024 0.016 0.069 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 7.252 0.115 -0.448 0.022 0.03 0.021 7.367 0.03720215047547654 6.919 0.04272001872658765 0.1266 "" 0.00715 "" 7.253862 7.187054 6.999981 0.00391 0.00294 0.004718 "" "" "" "" "" "" "" "" 7.331 7.251 7.2 6.846 6.84 6.72 0.023 0.047 0.033
HD111904 38;64;65 0.15 193.3412083333333 -60.32848888888889 11;37 "" "" "" "" "" "" "" "" "" "" "" "" 2596.02107504519 -1 436276871 -1 4.573 4.328 4.502 4.345 0.167 0.088 0.014 0.026 "" "" "" "" "" "" "" "" "" "" -10.75 -5.806 0.9887 -0.5583 -0.4181 -1.176 "" "" 4.2 "" "" "" 5.766 0.329 -0.366 0.013 0.017 0.026 6.095 0.0214009345590327 5.729 0.033674916480965475 0.8917 0.2157 0.0164 0.0248 5.832158 5.635453 5.26423 0.003672 0.002917 0.004627 "" "" "" "" "" "" "" "" 6.036 5.777 5.62 4.863 4.807 4.641 0.037 0.234 0.021
HD111973 64;65 0.25 193.45379166666663 -60.37623888888889 11;37;38 16500.0 1 8.04 2 21.0 2 5.16 1 12.0 1 2.1 1 2171.27650129275 -1 436267716 -1 4.949 5.071 5.017 4.199 0.104 0.045 0.015 0.029 "" "" "" "" "" "" "" "" "" "" 14.83 -5.806 0.567 -0.5583 -0.4181 -1.176 51.2 "" 4.4 "" "" "" 5.963 0.227 -0.583 0.024 0.016 0.015 6.19 0.028844410203711916 5.607 0.03251153641401772 0.6504 "" 0.0351 "" 5.99895 5.883005 5.604338 0.004328 0.002992 0.00528 "" "" "" "" "" "" "" "" 6.12 5.946 5.85 5.355 5.303 5.212 0.023 0.031 0.026
HD112244 11;37;38;64 0.15 193.98804166666665 -56.83580555555556 "" "" "" "" "" "" "" "" "" "" "" "" "" 1195.50151222032 -1 406050497 -1 5.155 4.954 4.974 4.556 0.164 0.078 0.014 0.028 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 5.375 0.017 -0.86 0.027 0.011 0.041 5.392 0.0291547594742265 4.532 0.050309044912421066 0.6002 0.1403 0.0103 0.0308 5.304757 5.315825 5.229992 0.003385 0.002923 0.004743 0.445 7 0.25 0 0.508 0 13.9 0 5.348 5.368 5.38 5.297 5.282 5.217 0.024 0.018 0.024
HD115842 11;38;64 0.1 200.20141666666666 -55.800688888888885 "" 25500.0 1 8.44 2 40.0 2 5.67 1 23.0 1 2.75 1 1803.81813749319 -1 256813340 -1 5.115 4.888 4.983 4.642 0.17 0.087 0.011 0.026 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 6.023 0.296 -0.707 0.01 0.009 0.013 6.319 0.01345362404707371 5.612 0.01870828693386971 0.5649 0.1856 0.0193 0.0459 6.08075 5.927876 5.608955 0.00428 0.002949 0.005418 "" "" "" "" "" "" "" "" 6.24 6.033 5.9 5.344 5.297 5.175 0.018 0.036 0.018
HD116084 11;64 0.15 200.56787499999996 -52.18295277777778 38 16200.0 2 8.09 2 23.0 2 "" "" 23.0 2 2.25 2 3759.49128039602 -1 401431637 -1 5.449 5.258 5.362 5.121 0.13 0.045 0.015 0.031 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 5.834 0.112 -0.731 0.013 0.004 0.008 5.946 0.013601470508735444 5.215 0.0157797338380595 0.41 "" 0.00812 "" 5.827078 5.777706 5.624305 0.003948 0.002915 0.005712 "" "" "" "" "" "" "" "" 5.9 5.839 5.81 5.576 5.543 5.469 0.037 0.027 0.026
HD117024 "" 0.15 202.2725833333333 -63.87403055555556 11 16500.0 2 7.62 2 12.0 2 "" "" 24.0 2 2.55 2 2314.94627742295 -1 314141881 -1 6.953 6.982 6.969 6.776 0.046 0.019 0.02 0.084 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 7.096 0.051 -0.709 0.015 0.013 0.018 7.147 0.019849433241279208 6.438000000000001 0.02679552201394852 0.1099 "" 0.0125 "" 7.078862 7.071715 6.990899 0.002904 0.00278 0.003918 "" "" "" "" "" "" "" "" 7.129 7.108 7.1 6.954 6.991 6.972 0.02 0.021 0.021
HD119646 65 0.08 206.575 -62.451600000000006 11;38 17600.0 2 7.93 2 20.0 2 "" "" 21.0 2 2.5 2 1896.53843254523 -1 323082858 -1 6.148 6.154 6.093 5.18 0.096 0.033 0.034 0.102 6.695 6.671 0.0 0.0 6.914 0.0 6.752 0.0 6.883 0.0 -9.244 -4.991 0.2323 -0.5086 -0.3647 -1.16 "" "" 4.9 "" "" "" 6.602 0.118 -0.685 0.02 0.007 0.022 6.720000000000001 0.02118962010041709 6.035 0.030545048698602528 0.4399 "" 0.0499 "" 6.596082 6.554349 6.404938 0.003028 0.00278 0.004036 "" "" "" "" "" "" "" "" 6.677 6.62 6.59 6.336 6.307 6.248 0.018 0.042 0.02
HD122879 38 0.15 211.60483333333332 -59.71590277777778 11 27200.0 2 8.37 2 40.0 2 "" "" 14.0 2 2.9 2 2234.80558740586 -1 210096523 -1 5.96 5.851 5.809 5.511 0.125 0.039 0.015 0.051 6.572 6.431 0.0 0.0 6.911 0.0 6.422 0.0 6.547 0.0 -10.84 -5.852 0.268 -0.5378 -0.4171 -1.284 "" "" 4.9 "" "" "" 6.412 0.124 -0.793 0.014 0.013 0.019 6.536 0.0191049731745428 5.742999999999999 0.02694438717061496 0.2418 "" 0.0146 "" 6.414868 6.364975 6.202488 0.003377 0.00283 0.004476 "" "" "" "" "" "" "" "" 6.49 6.43 6.4 6.128 6.088 6.065 0.029 0.026 0.02
HD125288 65 0.15 215.08141666666666 -56.386494444444445 11;38 13900.0 2 7.67 2 10.0 2 "" "" 20.0 2 2.55 2 239.159847386051 -1 413632344 -1 3.911 3.523 3.882 3.774 0.292 0.173 0.014 0.019 "" "" "" "" "" "" "" "" "" "" -17.83 -9.628 1.718 -0.911 -0.705 -1.942 "" "" 4.2 "" "" "" 4.336 0.115 -0.444 0.013 0.007 0.007 4.4510000000000005 0.0147648230602334 4.007000000000001 0.01634013463836819 1.585 0.3629 0.0171 0.0135 4.332447 4.271601 4.085463 0.002905 0.003072 0.004468 "" "" "" "" "" "" "" "" 4.41 4.339 4.3 4.238 4.154 3.904 0.288 0.212 0.036
HD125545 "" 0.15 215.5125833333333 -58.29121388888889 11;38 20800.0 2 7.7 2 22.0 2 "" "" 17.0 2 2.75 2 2372.31514419766 -1 413965764 -1 6.889 6.904 6.874 6.836 0.061 0.021 0.017 0.077 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 7.4 0.151 -0.695 0.02 0.004 0.027 7.551 0.02039607805437114 6.856 0.03383784863137726 0.1042 "" 0.0143 "" 7.41981 7.354641 7.169872 0.003246 0.002838 0.004204 "" "" "" "" "" "" "" "" 7.524 7.431 7.38 7.004 6.968 6.953 0.023 0.034 0.02
HD139901 "" 0.15 235.75087499999998 -51.32175 12;39 "" "" "" "" "" "" "" "" "" "" "" "" 968.990308140439 -1 190706866 -1 8.227 8.264 8.208 7.827 0.023 0.021 0.024 0.168 8.198 8.145 0.0 0.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 8.202482 8.213493 8.176218 0.00284 0.002774 0.003809 "" "" "" "" "" "" "" "" 8.234 8.268 8.3 8.193 8.217 8.252 0.024 0.033 0.018
HD141318 65 0.15 237.7783333333333 -55.05553611111111 12;39 18300.0 2 8.13 2 13.0 2 "" "" 15.0 2 2.9 2 589.411293374978 -1 80724706 -1 5.403 5.249 5.721 5.614 0.25 0.057 0.038 0.101 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 5.773 0.014 -0.716 0.013 0.016 0.031 5.787 0.0206155281280883 5.071 0.03722902093797257 "" "" "" "" 5.719077 5.721884 5.667116 0.00287 0.002781 0.004081 "" "" "" "" "" "" "" "" 5.759 5.765 5.78 5.696 5.724 5.703 0.021 0.031 0.017
HD142758 "" 0.07 239.8489166666666 -58.726222222222226 12;39 17300.0 2 8.46 2 35.0 2 "" "" 21.0 2 2.25 2 5181.12862897021 -1 422192335 -1 6.392 6.266 6.215 5.961 0.079 0.027 0.016 0.045 "" "" "" "" "" "" "" "" "" "" -13.04 -7.039 0.174 -0.6018 -0.4746 -1.416 "" "" 5.7 "" "" "" 7.055 0.222 -0.65 0.02 0.025 0.064 7.277 0.032015621187164243 6.627 0.07156116265125938 0.163 "" 0.0183 "" 7.083448 6.989916 6.752246 0.003706 0.002879 0.006202 "" "" "" "" "" "" "" "" 7.234 7.077 6.99 6.546 6.482 6.392 0.03 0.055 0.021
HD146483 "" 0.15 244.91024999999996 -57.906277777777774 39 "" "" "" "" "" "" "" "" "" "" "" "" 922.233541416426 -1 208497861 -1 7.818 7.769 7.432 6.1 0.025 0.02 0.019 0.05 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 8.28 0.063 -0.235 0.001 0.013 0.038 8.343 0.013038404810405297 8.108 0.04017461885320133 "" "" "" "" 8.30916 8.273308 8.147146 0.002818 0.002766 0.003796 "" "" "" "" "" "" "" "" 8.325 8.281 8.25 7.977 7.933 7.899 0.021 0.033 0.034
HD148379 12;39;66 0.15 247.42637499999998 -46.243230555555556 "" 17000.0 2 7.93 2 43.0 2 "" "" 19.0 2 2.0 2 2755.5629286448 -1 226037847 -1 3.622 3.126 3.314 3.048 0.4 0.27 0.015 0.021 "" "" "" "" "" "" "" "" "" "" -12.12 9.142 2.664 1.482 1.133 2.463 "" 16.4 4.1 6.9 7.5 36.7 5.339 0.551 -0.458 0.018 0.018 0.026 5.890000000000001 0.02545584412271571 5.432 0.03638681079732051 2.389 0.685 0.0803 0.0122 5.473936 5.129825 4.603179 0.004217 0.003066 0.005166 "" "" "" "" "" "" "" "" 5.796 5.364 5.07 4.058 3.728 3.724 0.236 0.224 0.284
HD148688 12;39;66 0.15 247.92404166666662 -41.817147222222225 "" 21000.0 1 7.94 2 37.0 2 5.23 1 11.0 1 2.45 1 1524.53850328725 -1 29563900 -1 3.97 3.594 3.853 3.5 0.319 0.174 0.015 0.024 "" "" "" "" "" "" "" "" "" "" -17.83 -9.628 1.676 -0.911 -0.705 -1.942 "" "" 4.2 "" "" "" 5.324 0.347 -0.651 0.016 0.015 0.022 5.670999999999999 0.021931712199461308 5.02 0.031064449134018134 1.7 0.6094 0.0646 0.00282 5.365469 5.1761 4.786648 0.003617 0.00314 0.008553 "" "" "" "" "" "" "" "" 5.583 5.327 5.17 4.325 4.085 4.093 0.272 0.246 0.266
HD149038 39;66 0.15 248.5209166666666 -44.045313888888884 "" 28500.0 2 7.91 2 40.0 2 "" "" 12.0 2 3.1 2 1031.78214229332 -1 228529130 -1 4.554 4.294 4.528 4.178 0.218 0.124 0.016 0.025 "" "" "" "" "" "" "" "" "" "" -10.75 -5.806 0.9391 -0.5583 0.9632 -1.176 "" "" 4.2 "" 37.1 "" 4.897 0.087 -0.832 0.019 0.022 0.046 4.984 0.029068883707497266 4.152 0.05441507144165116 0.8951 "" 0.0407 "" 4.858858 4.815575 4.701813 0.003086 0.00286 0.004634 "" "" "" "" "" "" "" "" 4.944 4.905 4.9 4.912 4.679 4.612 0.252 0.061 0.033
HD150168 12;39;66 0.1 250.417625 -49.65155277777777 "" 24800.0 2 8.26 2 20.0 2 "" "" 13.0 2 3.15 2 1030.64383257363 -1 39177520 -1 5.425 5.227 5.715 5.549 0.129 0.052 0.014 0.038 6.506 6.42 0.0 0.0 6.866 0.0 6.334 0.0 5.869 0.0 -11.57 -6.248 0.3347 -0.5869 -0.4502 -1.299 "" "" 4.9 "" "" "" 5.646 -0.019 -0.863 0.014 0.009 0.017 5.627 0.016643316977093238 4.763999999999999 0.02379075450674064 0.3543 "" 0.0429 "" 5.57322 5.595775 5.579718 0.002973 0.002843 0.004343 "" "" "" "" "" "" "" "" 5.606 5.643 5.66 5.689 5.76 5.72 0.021 0.033 0.021
HD150898 12;39;66 0.1 251.83191666666664 -58.34144166666667 "" 26400.0 2 8.0 2 25.0 2 "" "" 20.0 2 3.1 2 882.930120042099 -1 344237828 -1 5.856 5.731 5.486 2.515 0.127 0.052 0.016 0.03 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 5.571 -0.072 -0.929 0.007 0.012 0.048 5.499 0.013892443989449804 4.569999999999999 0.049969990994595946 0.3955 "" 0.0577 "" 5.47647 5.525335 5.56768 0.003266 0.002858 0.004185 "" "" "" "" "" "" "" "" 5.478 5.564 5.61 5.687 5.73 5.745 0.02 0.021 0.02
HD152236 12;39 0.15 253.49883333333332 -42.362030555555556 "" 21500.0 2 "" "" "" "" "" "" "" "" "" "" 1507.81481604575 -1 246962305 -1 2.997 2.61 2.612 2.157 0.538 0.491 0.021 0.025 "" "" "" "" "" "" "" "" "" "" 17.58 -6.189 4.977 2.401 2.102 -1.262 43.7 "" 4.1 5.7 6.5 "" 4.729 0.481 -0.556 0.017 0.017 0.02 5.21 0.024041630560342617 4.654 0.03127299154222378 4.916 1.468 0.000874 0.0356 4.840555 4.526421 4.032206 0.003829 0.003144 0.006027 "" "" "" "" "" "" "" "" 5.162 4.776 4.53 3.592 3.341 3.217 0.266 0.236 0.248
HD152234 12;66 0.15 253.50766666666664 -41.80639166666666 39 25700.0 2 7.69 2 38.0 2 "" "" 14.0 2 2.9 2 2479.57073775252 -1 339565401 -1 4.542 4.395 4.653 4.396 0.191 0.109 0.017 0.027 "" "" "" "" "" "" "" "" "" "" -12.61 -6.808 0.8257 -0.6585 -0.4985 -1.386 "" "" 4.2 "" "" "" 5.454 0.202 -0.723 0.018 0.017 0.016 5.656 0.024758836806279896 4.933 0.02947880594596735 0.7641 0.2161 0.00775 0.0202 5.473179 5.4243 5.115481 0.003366 0.004302 0.005142 "" "" "" "" "" "" "" "" 5.598 5.45 5.36 5.07 4.926 4.773 0.254 0.044 0.018
HD152235 39 0.1 253.4952083333333 -41.99432777777778 "" 22000.0 2 7.59 2 30.0 2 "" "" 14.0 2 2.65 2 2911.48162942156 -1 246957312 -1 4.616 4.358 4.563 4.321 0.212 0.116 0.015 0.037 "" "" "" "" "" "" "" "" "" "" -12.61 -6.808 0.809 -0.6585 -0.4985 -1.386 "" "" 4.2 "" "" "" 6.329 0.51 -0.469 0.021 0.016 0.019 6.8389999999999995 0.02640075756488817 6.369999999999999 0.03252691193458118 0.9422 0.2787 0.0221 0.0733 6.416988 6.113081 5.603954 0.004609 0.003013 0.005573 "" "" "" "" "" "" "" "" 6.743 6.335 6.07 5.365 4.938 4.798 0.248 0.076 0.017
HD154090 12;39;66 0.15 256.205625 -34.122927777777775 "" 22200.0 2 8.3 2 28.0 2 "" "" 15.0 2 2.7 2 922.826535846523 -1 41026067 -1 4.086 3.713 3.892 3.628 0.295 0.189 0.015 0.026 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 4.863 0.257 -0.695 0.006 0.007 0.008 5.12 0.009219544457292887 4.425 0.012206555615733703 1.679 0.4583 0.0408 1.78e-05 4.888444 4.735985 4.458208 0.004568 0.003258 0.007675 1.19 7 0.352 0 0.875 0 8.54 0 5.048 4.866 4.76 4.116 4.072 4.073 0.264 0.212 0.218
HD155985 "" 0.1 259.2730833333333 -44.778594444444444 39 23200.0 2 8.19 2 22.0 2 "" "" 12.0 2 2.95 2 1179.35843338254 -1 216802672 -1 5.776 5.665 5.858 5.889 0.187 0.053 0.016 0.046 "" "" "" "" "" "" "" "" "" "" -14.58 -7.869 0.2664 1.484 -0.5307 -1.584 "" "" 5.1 41.2 "" "" 6.457 0.25 -0.683 0.009 0.008 0.009 6.707 0.012041594578792296 6.024 0.01503329637837291 "" "" "" "" 6.496916 6.383211 6.12283 0.003322 0.002806 0.004812 "" "" "" "" "" "" "" "" 6.653 6.492 6.4 5.921 5.859 5.812 0.019 0.023 0.026
HD157038 39;66 0.15 260.66341666666665 -37.80463888888889 "" 15700.0 2 8.97 2 32.0 2 "" "" 14.0 2 2.0 2 2603.25829141099 -1 198257590 -1 3.955 3.57 3.822 3.612 0.235 0.147 0.015 0.044 "" "" "" "" "" "" "" "" "" "" -9.863 7.326 1.66 0.7049 -0.4027 -1.129 "" 16.5 4.1 10.4 "" "" 6.333 0.756 -0.168 0.02 0.015 0.017 7.089 0.025 6.921 0.03023243291566195 1.622 0.3422 0.0125 0.0179 6.498969 6.031171 5.360455 0.004947 0.003092 0.005606 "" "" "" "" "" "" "" "" 7.004 6.366 5.95 4.454 4.367 4.136 0.192 0.076 0.036
HD157246 66 0.15 261.3485833333333 -56.377725 12;39 21500.0 2 8.11 2 19.0 2 "" "" 15.0 2 2.9 2 275.268483658957 -1 325709821 -1 3.689 3.425 3.782 3.663 0.347 0.283 0.015 0.026 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 3.328 -0.136 -0.947 0.006 0.011 0.011 3.1919999999999997 0.012529964086141668 2.2449999999999997 0.016673332000533066 1.762 0.4361 0.00786 0.0115 3.302995 3.304689 3.372585 0.014002 0.00357 0.004337 1.27 5 0.291 12 0.4 0 1.59 0 3.159 3.288 3.37 3.568 3.561 3.794 0.238 0.216 0.036
HD165024 66 0.15 271.65779166666664 -50.091475 13;39 18500.0 2 8.23 2 17.0 2 "" "" 18.0 2 2.7 2 283.416311646698 -1 364875523 -1 4.013 3.724 4.013 3.932 0.305 0.197 0.015 0.022 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 3.667 -0.089 -0.858 0.008 0.009 0.014 3.578 0.012041594578792296 2.7199999999999998 0.018466185312619388 1.453 0.344 0.0399 0.0301 3.614084 3.643981 3.674088 0.012704 0.004499 0.005036 1.02 7 0.318 13 0.4 0 1.28 0 3.552 3.644 3.69 4.021 3.932 4.041 0.268 0.244 0.23
