STAR SSPOC MASK RA DEC SFFI TEFF f_TEFF NABUN f_NABUN MASS f_MASS LOGL f_LOGL VMIC f_VMIC LOGG f_LOGG DIST f_DIST TIC f_TIC W1mag W2mag W3mag W4mag e_W1mag e_W2mag e_W3mag e_W4mag Bmag/APASS Vmag/APASS e_Bmag/APASS e_Vmag/APASS gpmag e_gpmag rpmag e_rpmag ipmag e_ipmag B1 B2 A C D E e_B1 e_B2 e_A e_C e_D e_E Vmag/Merm91 B-V U-B e_Vmag/Merm91 e_B-V e_U-B Bmag/Merm91 e_Bmag/Merm91 Umag e_Umag S09 S18 e_S09 e_S18 BPmag Gmag RPmag e_BPmag e_Gmag e_RPmag Fnu_12 e_Fnu_12 Fnu_25 e_Fnu_25 Fnu_60 e_Fnu_60 Fnu_100 e_Fnu_100 Bmag/NOMAD05 Vmag/NOMAD05 Rmag Jmag Hmag Kmag e_Jmag e_Hmag e_Kmag
HD58350 "" 0.15 111.02374999999999 -29.303105555555558 34;61 16000.0 1 8.16 2 23.0 2 5.24 1 10.0 1 2.0 1 4505.70707346548 -1 107415639 -1 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 2.451 -0.084 -0.711 0.013 0.01 0.011 2.367 0.016401219466856725 1.6560000000000001 0.019748417658131498 5.78 1.481 0.0369 0.0481 2.904354 2.450408 2.564822 0.061964 0.0075 0.030505 4.75 6 1.33 7 0.4 0 7.02 0 2.41 2.455 2.49 2.439 2.492 2.442 0.254 0.236 0.268
HD64760 7;8;9;34;35;61;62 0.15 118.32562499999999 -48.10293333333333 "" 23000.0 1 7.89 2 23.0 2 4.57 1 15.0 1 2.9 1 368.396518536382 -1 269064487 -1 4.608 4.297 4.592 4.405 0.27 0.132 0.015 0.026 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 4.239 -0.145 -0.99 0.003 0.005 0.0 4.094 0.0058309518948453 3.104 0.0058309518948453 0.7926 0.2103 0.0098 0.031 4.107287 4.174098 4.291525 0.003297 0.003227 0.005131 "" "" "" "" "" "" "" "" 4.076 4.218 4.3 4.739 4.706 4.642 0.254 0.248 0.021
HD74371 8;9;35;36;61;62 0.15 130.48708333333332 -45.41071111111111 "" 13700.0 1 7.85 2 24.0 2 5.23 1 10.0 1 1.8 1 1226.07785723081 -1 285823086 -1 4.366 4.032 4.353 4.154 0.275 0.17 0.015 0.023 "" "" "" "" "" "" "" "" "" "" -21.4 -11.55 1.166 0.7962 -0.804 -2.438 "" "" 4.2 11.1 "" "" 5.238 0.207 -0.527 0.012 0.016 0.02 5.445 0.02 4.918 0.0282842712474619 1.025 0.2729 0.0172 0.032 5.246611 5.115778 4.852038 0.00459 0.003168 0.008362 0.788 6 0.179 39 3.92 0 61.9 0 5.377 5.232 5.14 4.668 4.673 4.486 0.246 0.024 0.016
HD75149 8;9;35;36;62 0.15 131.62724999999998 -45.912505555555555 "" 16000.0 1 8.43 2 24.0 2 5.35 1 15.0 1 2.1 1 1704.5701020885 -1 28656140 -1 4.383 4.078 4.5 4.195 0.279 0.169 0.015 0.026 "" "" "" "" "" "" "" "" "" "" -21.4 -11.55 1.03 -1.188 -0.804 -2.438 "" "" 4.2 "" "" "" 5.455 0.275 -0.542 0.015 0.013 0.023 5.73 0.019849433241279208 5.188000000000001 0.030380915061926625 0.9457 0.2677 0.014 0.0198 5.504771 5.342582 5.031774 0.004913 0.003188 0.005666 "" "" "" "" "" "" "" "" 5.67 5.465 5.35 4.825 4.677 4.587 0.25 0.067 0.021
HD77581 8;9 0.07 135.52858333333333 -40.55469444444444 62 26500.0 2 8.4 2 40.0 2 "" "" 17.0 2 2.9 2 2415.10654483993 -1 191450569 -1 5.458 5.253 5.27 3.696 0.189 0.066 0.016 0.028 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 6.886 0.473 -0.512 0.019 0.021 0.016 7.359 0.02831960451701259 6.8469999999999995 0.03252691193458118 0.3964 "" 0.0109 "" 6.997068 6.735128 6.276612 0.004923 0.003033 0.006217 "" "" "" "" "" "" "" "" 7.303 6.921 6.67 5.833 5.705 5.596 0.02 0.034 0.024
HD79186 8;9;35;36;62;63 0.15 137.76833333333332 -44.86790277777778 "" 15800.0 1 8.39 2 35.0 2 5.33 1 11.0 1 2.0 1 1279.09493637392 -1 74533697 -1 "" 3.874 4.105 3.887 "" 0.236 0.015 0.023 "" "" "" "" "" "" "" "" "" "" -6.588 -3.556 1.261 0.7549 0.3471 -0.6642 "" "" 4.1 6.6 8.9 "" 4.99 0.225 -0.573 0.012 0.012 0.019 5.215 0.01697056274847714 4.6419999999999995 0.025475478405713993 1.2 0.3189 0.0144 0.0229 5.012632 4.876352 4.622228 0.004192 0.003058 0.007 "" "" "" "" "" "" "" "" 5.173 5.018 4.93 4.6 4.371 4.308 0.244 0.214 0.262
HD80077 8;9;35;36;62;63 0.07 138.97829166666665 -49.97349444444445 "" 17700.0 1 "" "" "" "" 6.53 1 10.0 1 2.2 1 2373.15856355917 -1 391624171 -1 2.501 1.933 2.934 2.531 "" "" 0.012 0.021 "" "" "" "" "" "" "" "" "" "" -13.94 13.29 3.839 1.993 1.454 2.955 "" 14.5 4.1 5.9 6.8 33.5 7.58 1.37 0.2 "" "" "" 8.95 "" 9.149999999999999 "" 3.338 1.038 0.0551 0.0303 7.728779 6.763301 5.764502 0.006803 0.003477 0.00916 2.65 4 0.886 10 3.74 0 23.3 0 8.734 7.561 6.85 4.442 3.807 3.596 0.037 0.234 0.226
HD80558 63 0.15 139.6764583333333 -51.560649999999995 9;10;35;36;62 13000.0 2 8.66 2 30.0 2 "" "" 24.0 2 1.7 2 2041.88268721996 -1 364151367 -1 4.107 3.661 4.112 3.913 0.359 0.159 0.014 0.021 "" "" "" "" "" "" "" "" "" "" -11.95 -6.45 1.419 0.9386 0.7574 -1.283 "" "" 4.2 9.4 9.2 "" 5.865 0.54 -0.34 0.015 0.014 0.041 6.405 0.020518284528683192 6.065 0.0458475735453906 1.312 0.3674 0.0159 0.0152 5.988793 5.661753 5.125038 0.00456 0.003008 0.007053 "" "" "" "" "" "" "" "" 6.314 5.9 5.63 4.539 4.232 4.261 0.224 0.188 0.036
HD83183 10;36;62;63;64 0.15 143.61104166666664 -59.22975277777778 "" 14900.0 2 7.42 2 14.0 2 "" "" 20.0 2 2.5 2 482.189680907234 -1 439431474 -1 3.859 3.592 3.987 3.886 0.368 0.261 0.016 0.024 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 4.084 0.008 -0.544 0.01 0.008 0.012 4.092 0.012806248474865698 3.5479999999999996 0.017549928774784243 1.444 0.3289 0.00982 0.0244 4.047555 4.052137 3.959035 0.003185 0.003204 0.005374 "" "" "" "" "" "" "" "" 4.064 4.079 4.09 4.224 4.127 4.14 0.274 0.17 0.312
HD86440 9;10;36;37;63 0.15 149.2155833333333 -54.56778888888889 "" 14600.0 2 7.59 2 13.0 2 "" "" 20.0 2 2.55 2 373.555245954308 -1 274684383 -1 2.901 3.356 3.735 3.641 "" 0.432 0.015 0.022 "" "" "" "" "" "" "" "" "" "" -10.94 -5.905 1.996 0.8644 0.6626 -1.372 "" "" 4.1 9.0 9.1 "" 3.534 -0.091 -0.624 0.017 0.006 0.015 3.4429999999999996 0.01802775637731995 2.8189999999999995 0.023452078799117152 1.802 0.4763 0.017 0.0146 3.516062 3.521229 3.51742 0.010978 0.003394 0.004301 "" "" "" "" "" "" "" "" 3.425 3.508 3.56 3.742 3.696 3.729 0.26 0.242 0.242
